content,bucket
Show me my messages,Messages
Open star map,Navigation
Display my heart rate,Vitals
Open geosampling interface,Geosampling
Open message log,Messages
Show me my message inbox,Messages
Show me the mission status,UIA
Show me the mission dashboard,UIA
Open sample analysis module,Samples
Display star map,Navigation
Open mission log,UIA
Open status dashboard,UIA
Open message inbox,Messages
Display mission status,UIA
Open sample collection interface,Samples
Open mission status display,UIA
Display my vitals,Vitals
Open sample analysis interface,Samples
Show my vitals,Vitals
Display vital signs,Vitals
Open sample container,Samples
Show my heart rate,Vitals
Access mission status,UIA
Show my health stats,Vitals
Open mission status dashboard,UIA
Open star chart,Navigation
Open samples storage,Samples
Open geosampling module,Geosampling
Display my health stats,Vitals
Open my messages,Messages
Open spacecraft diagnostics,UIA
Open mission dashboard,UIA
Open samples interface,Samples
Display vital stats,Vitals
Open messages panel,Messages
Open mission control dashboard,UIA
Open sample inventory,Samples
Access mission control interface,UIA
Show me the star chart,Navigation
Show me my inbox,Messages
Display mission dashboard,UIA
Open sample storage,Samples
Open helmet visor,UIA
Open mission logs,UIA
Display vitals summary,Vitals
Open samples list,Samples
Open messages inbox,Messages
Open vital signs display,Vitals
Display mission log,UIA
Open samples inventory,Samples
Open messages interface,Messages
Display health metrics,Vitals
Open sample storage interface,Samples
Open messages log,Messages
Open geosampling dashboard,Geosampling
Show me my vitals,Vitals
Open sample analysis screen,Samples
Open samples log,Samples
Open sample storage unit,Samples
Display my health status,Vitals
Open equipment status display,UIA
Open sample storage panel,Samples
Open samples archive,Samples
Open samples dashboard,Samples
Open sample retrieval interface,Samples
Show mission status panel,UIA
Open message interface,Messages
Access sample inventory,Samples
Open task manager,UIA
Open mission controls,UIA
Open mission control interface,UIA
Open vitals display,Vitals
Open sample analysis toolkit,Samples
Display vitals monitor,Vitals
Access mission dashboard,UIA
Display mission checklist,UIA
Open my heart rate monitor,Vitals
Display my vital signs,Vitals
Show me the equipment checklist,UIA
Show my messages,Messages
Open system diagnostics,UIA
Display mission briefing,UIA
Display mission objectives,UIA
Open sample storage module,Samples
Open status display,UIA
Open systems monitor,UIA
Show my heart rate monitor,Vitals
Open map display,Navigation
Display my health metrics,Vitals
Open dashboard display,UIA
Open control dashboard,UIA
Open spacecraft controls,UIA
Launch navigation interface,Navigation
Open my message inbox,Messages
Open messages dashboard,Messages
Check my heart rate,Vitals
Show my vital signs,Vitals
Display spacecraft systems status,UIA
Launch mission control dashboard,UIA
Display crew status,UIA
Open sample analysis tool,Samples
Open mission status screen,UIA
Show my incoming messages,Messages
Show geosampling data,Geosampling
Open sample collection panel,Samples
Open sample log,Samples
Open sample collection log,Samples
Display spacecraft status,UIA
Show me my health stats,Vitals
Show sample collection interface,Samples
Open sample analysis dashboard,Samples
Activate mission control interface,UIA
Show me new messages,Messages
Open sample analysis tools,Samples
Show me the mission overview,UIA
Open oxygen levels display,UIA
Show my health metrics,Vitals
Open geosampling tool,Geosampling
Open message console,Messages
Open sample analysis report,Samples
Display environmental controls,UIA
Open message display,Messages
Activate control dashboard,UIA
Show me the spacecraft map,UIA
Open mission status panel,UIA
Open mission status report,UIA
Open my message log,Messages
Display sample analysis results,Samples
Open message center,Messages
Open my vitals display,Vitals
Open equipment checklist,UIA
Access sample collection interface,Samples
Open communication interface,UIA
Display messages interface,Messages
Open samples display,Samples
Open communications interface,UIA
Display mission control dashboard,UIA
Open mission briefing,UIA
Open message dashboard,Messages
Open sample analyzer,Samples
Show me the mission log,UIA
Show me my vital signs,Vitals
Display vital signs panel,Vitals
Show me the messages,Messages
Access system status display,UIA
Open sample collector,Samples
Open samples overview,Samples
Display vitals dashboard,Vitals
Access sample storage,Samples
Open samples container,Samples
Access sample collection module,Samples
Open sample storage compartment,Samples
Show me the star map,Navigation
Open sample collection tray,Samples
Open control display,UIA
Open mission overview,UIA
Open mission objectives,UIA
Display mission stats,UIA
Open mission checklist,UIA
Open communication console,UIA
Access sample container,Samples
Open system log,UIA
Display my messages,Messages
Display habitat controls,UIA
Show me my heart rate,Vitals
Open systems status display,UIA
